instance	cell_type	group	function_color	provenance_color
_2130_	inv_2		core_combinational	agent_written
_2131_	inv_2		core_combinational	agent_written
_2132_	inv_2		core_combinational	agent_written
_2133_	inv_2		core_combinational	agent_written
_2134_	inv_2		core_combinational	agent_written
_2135_	inv_2		core_combinational	agent_written
_2136_	inv_2		core_combinational	agent_written
_2137_	inv_2		core_combinational	agent_written
_2138_	inv_2		core_combinational	agent_written
_2139_	inv_2		core_combinational	agent_written
_2140_	inv_2		core_combinational	agent_written
_2141_	inv_2		core_combinational	agent_written
_2142_	inv_2		core_combinational	agent_written
_2143_	inv_2		core_combinational	agent_written
_2144_	inv_2		core_combinational	agent_written
_2145_	inv_2		core_combinational	agent_written
_2146_	inv_2		core_combinational	agent_written
_2147_	nand2b_2		core_combinational	agent_written
_2148_	nor2_2		core_combinational	agent_written
_2149_	nand2_2		core_combinational	agent_written
_2150_	nor2_2		core_combinational	agent_written
_2151_	or3b_2		core_combinational	agent_written
_2152_	a21oi_2		core_combinational	agent_written
_2153_	o211a_2		core_combinational	agent_written
_2154_	and3_2		core_combinational	agent_written
_2155_	and3b_2		core_combinational	agent_written
_2156_	and3_2		core_combinational	agent_written
_2157_	nand2_2		core_combinational	agent_written
_2158_	nor3_2		core_combinational	agent_written
_2159_	o211a_2		core_combinational	agent_written
_2160_	a31o_2		core_combinational	agent_written
_2161_	and3b_2		core_combinational	agent_written
_2162_	nand2_2		core_combinational	agent_written
_2163_	and2b_2		core_combinational	agent_written
_2164_	nand2b_2		core_combinational	agent_written
_2165_	o311a_2		core_combinational	agent_written
_2166_	o211a_2		core_combinational	agent_written
_2167_	and3_2		core_combinational	agent_written
_2168_	a31o_2		core_combinational	agent_written
_2169_	and3b_2		core_combinational	agent_written
_2170_	and3_2		core_combinational	agent_written
_2171_	and3b_2		core_combinational	agent_written
_2172_	and3b_2		core_combinational	agent_written
_2173_	a31o_2		core_combinational	agent_written
_2174_	and3_2		core_combinational	agent_written
_2175_	a31o_2		core_combinational	agent_written
_2176_	and3b_2		core_combinational	agent_written
_2177_	and3b_2		core_combinational	agent_written
_2178_	a31o_2		core_combinational	agent_written
_2179_	nand2_2		core_combinational	agent_written
